user_id,marketplace_side,signup_date,week1_sessions,week1_searches,week1_listings,week1_bookings,week1_messages,active_week_1,active_week_2,active_week_3,active_week_4,last_active_week,churn_flag,cohort_month,week1_engagement
U10001,Supply,2025-02-17,7,4,2,0,0.0,1,0,0,0,1,1,2025-02,13.0
U10002,Demand,2025-06-05,12,4,0,1,2.0,1,0,0,0,1,1,2025-06,19.0
U10003,Demand,2025-04-27,6,4,0,2,5.0,1,1,1,1,4,0,2025-04,17.0
U10004,Demand,2025-06-03,10,3,0,0,2.0,1,0,0,0,1,1,2025-06,15.0
U10005,Supply,2025-06-02,7,1,1,0,5.0,1,1,1,1,4,0,2025-06,14.0
U10006,Supply,2025-01-12,12,4,3,1,2.0,1,1,1,0,3,0,2025-01,22.0
U10007,Supply,2025-05-13,3,3,0,0,2.0,1,0,0,0,1,1,2025-05,8.0
U10008,Demand,2025-02-17,5,2,0,0,3.0,1,1,0,0,2,1,2025-02,10.0
U10009,Demand,2025-02-06,0,1,0,0,2.0,1,0,1,0,3,0,2025-02,3.0
U10010,Demand,2025-02-13,8,4,0,1,1.0,1,0,1,0,3,0,2025-02,14.0
U10011,Supply,2025-01-15,8,2,1,1,4.0,1,1,1,1,4,0,2025-01,16.0
U10012,Demand,2025-02-12,5,5,0,0,2.0,1,0,0,0,1,1,2025-02,12.0
U10013,Demand,2025-06-25,14,9,0,2,4.0,1,1,1,0,3,0,2025-06,29.0
U10014,Supply,2025-03-28,7,3,1,0,2.0,1,1,1,1,4,0,2025-03,13.0
U10015,Supply,2025-03-11,8,3,2,1,5.0,1,1,1,0,3,0,2025-03,19.0
U10016,Supply,2025-02-15,7,4,2,0,5.0,1,0,1,1,4,0,2025-02,18.0
U10017,Supply,2025-04-18,11,6,2,0,0.0,1,0,0,0,1,1,2025-04,19.0
U10018,Demand,2025-05-03,7,1,0,0,3.0,1,1,1,0,3,0,2025-05,11.0
U10019,Demand,2025-06-20,8,4,0,1,4.0,1,1,0,0,2,1,2025-06,17.0
U10020,Supply,2025-01-21,9,6,1,0,6.0,1,1,1,1,4,0,2025-01,22.0
U10021,Demand,2025-05-31,8,3,0,0,3.0,1,0,1,1,4,0,2025-05,14.0
U10022,Supply,2025-04-17,9,4,4,2,2.0,1,1,0,1,4,0,2025-04,21.0
U10023,Supply,2025-03-21,6,2,2,0,4.0,1,0,0,0,1,1,2025-03,14.0
U10024,Supply,2025-02-16,8,2,3,1,2.0,1,1,1,0,3,0,2025-02,16.0
U10025,Demand,2025-04-27,5,1,0,1,4.0,1,0,1,0,3,0,2025-04,11.0
U10026,Demand,2025-05-04,4,4,0,1,4.0,1,1,0,0,2,1,2025-05,13.0
U10027,Supply,2025-05-23,5,2,1,0,2.0,1,0,0,0,1,1,2025-05,10.0
U10028,Demand,2025-01-25,13,5,0,3,10.0,1,1,0,1,4,0,2025-01,31.0
U10029,Demand,2025-02-05,7,3,0,0,1.0,1,1,1,0,3,0,2025-02,11.0
U10030,Supply,2025-02-20,13,4,1,0,2.0,1,0,1,0,3,0,2025-02,20.0
U10031,Demand,2025-01-15,4,6,0,2,2.0,1,1,1,0,3,0,2025-01,14.0
U10032,Supply,2025-03-09,8,2,1,0,1.0,1,0,0,0,1,1,2025-03,12.0
U10033,Supply,2025-01-21,6,4,1,0,1.0,1,0,0,0,1,1,2025-01,12.0
U10034,Demand,2025-05-21,7,3,0,1,6.0,1,0,0,0,1,1,2025-05,17.0
U10035,Demand,2025-01-19,8,5,0,1,5.0,1,1,1,1,4,0,2025-01,19.0
U10036,Demand,2025-02-03,14,7,0,2,5.0,1,1,1,1,4,0,2025-02,28.0
U10037,Supply,2025-03-19,8,3,4,1,4.0,1,1,1,1,4,0,2025-03,20.0
